,omega,tau,p,d,alpha
0,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.99983759075039,1.2362882382361523e-05
1,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.99983759075039,0.0526414475975691
2,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.99983759075039,1.2362882382361523e-05
3,2.400247964468862,0.0700188044714488,-4.773610210765502,-4.99983759075039,1.2362882382361523e-05
4,2.400247964468862,0.0700188044714488,-4.5472418906467125,-4.99983759075039,1.2362882382361523e-05
5,2.400247964468862,0.0700188044714488,-4.320873570527923,-4.99983759075039,1.2362882382361523e-05
6,2.400247964468862,0.0700188044714488,-4.094505250409134,-4.99983759075039,1.2362882382361523e-05
7,2.400247964468862,0.0700188044714488,-3.868136930290345,-4.99983759075039,1.2362882382361523e-05
8,2.400247964468862,0.0700188044714488,-3.641768610171556,-4.99983759075039,1.2362882382361523e-05
9,2.400247964468862,0.0700188044714488,-3.4154002900527667,-4.99983759075039,1.2362882382361523e-05
10,2.400247964468862,0.0700188044714488,-3.189031969933977,-4.99983759075039,1.2362882382361523e-05
11,2.400247964468862,0.0700188044714488,-2.9626636498151884,-4.99983759075039,1.2362882382361523e-05
12,2.400247964468862,0.0700188044714488,-2.736295329696399,-4.99983759075039,1.2362882382361523e-05
13,2.400247964468862,0.0700188044714488,-2.50992700957761,-4.99983759075039,1.2362882382361523e-05
14,2.400247964468862,0.1084386916893878,-4.999978530884291,-4.99983759075039,1.2362882382361523e-05
15,2.400247964468862,0.1084386916893878,-4.773610210765502,-4.99983759075039,1.2362882382361523e-05
16,2.400247964468862,0.0700188044714488,-2.283558689458821,-4.99983759075039,1.2362882382361523e-05
17,2.400247964468862,0.1084386916893878,-4.5472418906467125,-4.99983759075039,1.2362882382361523e-05
18,2.400247964468862,0.1084386916893878,-4.320873570527923,-4.99983759075039,1.2362882382361523e-05
19,2.400247964468862,0.0700188044714488,-2.057190369340032,-4.99983759075039,1.2362882382361523e-05
20,2.400247964468862,0.1084386916893878,-4.094505250409134,-4.99983759075039,1.2362882382361523e-05
21,2.400247964468862,0.1084386916893878,-3.868136930290345,-4.99983759075039,1.2362882382361523e-05
22,2.400247964468862,0.0700188044714488,-1.8308220492212424,-4.99983759075039,1.2362882382361523e-05
23,2.400247964468862,0.1084386916893878,-3.641768610171556,-4.99983759075039,1.2362882382361523e-05
24,2.400247964468862,0.0700188044714488,-3.189031969933977,-4.764214474265341,1.2362882382361523e-05
25,2.400247964468862,0.0700188044714488,-3.4154002900527667,-4.764214474265341,1.2362882382361523e-05
26,2.400247964468862,0.0700188044714488,-1.6044537291024534,-4.99983759075039,1.2362882382361523e-05
27,2.400247964468862,0.0700188044714488,-2.9626636498151884,-4.764214474265341,1.2362882382361523e-05
28,2.400247964468862,0.0700188044714488,-3.641768610171556,-4.764214474265341,1.2362882382361523e-05
29,2.400247964468862,0.0700188044714488,-2.736295329696399,-4.764214474265341,1.2362882382361523e-05
30,2.400247964468862,0.0700188044714488,-3.868136930290345,-4.764214474265341,1.2362882382361523e-05
31,2.400247964468862,0.0700188044714488,-2.50992700957761,-4.764214474265341,1.2362882382361523e-05
32,2.400247964468862,0.1084386916893878,-3.4154002900527667,-4.99983759075039,1.2362882382361523e-05
33,2.400247964468862,0.0700188044714488,-4.094505250409134,-4.764214474265341,1.2362882382361523e-05
34,2.400247964468862,0.0700188044714488,-2.283558689458821,-4.764214474265341,1.2362882382361523e-05
35,2.400247964468862,0.0700188044714488,-4.320873570527923,-4.764214474265341,1.2362882382361523e-05
36,2.400247964468862,0.1084386916893878,-4.320873570527923,-4.764214474265341,1.2362882382361523e-05
37,2.400247964468862,0.1084386916893878,-4.094505250409134,-4.764214474265341,1.2362882382361523e-05
38,2.400247964468862,0.0700188044714488,-2.057190369340032,-4.764214474265341,1.2362882382361523e-05
39,2.400247964468862,0.1084386916893878,-4.5472418906467125,-4.764214474265341,1.2362882382361523e-05
40,2.400247964468862,0.1084386916893878,-3.868136930290345,-4.764214474265341,1.2362882382361523e-05
41,2.400247964468862,0.0700188044714488,-1.3780854089836645,-4.99983759075039,1.2362882382361523e-05
42,2.400247964468862,0.0700188044714488,-4.5472418906467125,-4.764214474265341,1.2362882382361523e-05
43,2.400247964468862,0.1084386916893878,-4.773610210765502,-4.764214474265341,1.2362882382361523e-05
44,2.400247964468862,0.1084386916893878,-3.641768610171556,-4.764214474265341,1.2362882382361523e-05
45,2.400247964468862,0.1084386916893878,-3.189031969933977,-4.99983759075039,1.2362882382361523e-05
46,2.400247964468862,0.1084386916893878,-4.999978530884291,-4.764214474265341,1.2362882382361523e-05
47,2.400247964468862,0.1084386916893878,-3.4154002900527667,-4.764214474265341,1.2362882382361523e-05
48,2.400247964468862,0.0700188044714488,-1.8308220492212424,-4.764214474265341,1.2362882382361523e-05
49,2.400247964468862,0.0700188044714488,-4.773610210765502,-4.764214474265341,1.2362882382361523e-05
50,2.400247964468862,0.1084386916893878,-3.189031969933977,-4.764214474265341,1.2362882382361523e-05
51,2.400247964468862,0.0700188044714488,-1.6044537291024534,-4.764214474265341,1.2362882382361523e-05
52,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.764214474265341,1.2362882382361523e-05
53,2.400247964468862,0.1084386916893878,-2.9626636498151884,-4.764214474265341,1.2362882382361523e-05
54,2.400247964468862,0.1084386916893878,-2.9626636498151884,-4.99983759075039,1.2362882382361523e-05
55,2.400247964468862,0.0700188044714488,-1.1517170888648751,-4.99983759075039,1.2362882382361523e-05
56,2.400247964468862,0.0700188044714488,-1.3780854089836645,-4.764214474265341,1.2362882382361523e-05
57,2.400247964468862,0.1084386916893878,-2.736295329696399,-4.764214474265341,1.2362882382361523e-05
58,2.400247964468862,0.1084386916893878,-2.50992700957761,-4.764214474265341,1.2362882382361523e-05
59,2.400247964468862,0.0700188044714488,-1.1517170888648751,-4.764214474265341,1.2362882382361523e-05
60,2.400247964468862,0.1084386916893878,-2.736295329696399,-4.99983759075039,1.2362882382361523e-05
61,2.400247964468862,0.0700188044714488,-0.925348768746086,-4.99983759075039,1.2362882382361523e-05
62,2.400247964468862,0.1084386916893878,-2.283558689458821,-4.764214474265341,1.2362882382361523e-05
63,2.400247964468862,0.0700188044714488,-0.925348768746086,-4.764214474265341,1.2362882382361523e-05
64,2.400247964468862,0.1084386916893878,-2.50992700957761,-4.99983759075039,1.2362882382361523e-05
65,2.400247964468862,0.1084386916893878,-2.057190369340032,-4.764214474265341,1.2362882382361523e-05
66,2.400247964468862,0.0700188044714488,-0.6989804486272966,-4.764214474265341,1.2362882382361523e-05
67,2.400247964468862,0.0700188044714488,-0.6989804486272966,-4.99983759075039,1.2362882382361523e-05
68,2.400247964468862,0.1084386916893878,-1.8308220492212424,-4.764214474265341,1.2362882382361523e-05
69,2.400247964468862,0.1084386916893878,-2.283558689458821,-4.99983759075039,1.2362882382361523e-05
70,2.400247964468862,0.1084386916893878,-1.6044537291024534,-4.764214474265341,1.2362882382361523e-05
71,2.400247964468862,0.1084386916893878,-2.057190369340032,-4.99983759075039,1.2362882382361523e-05
72,2.400247964468862,0.1084386916893878,-1.3780854089836645,-4.764214474265341,1.2362882382361523e-05
73,2.400247964468862,0.1084386916893878,-1.1517170888648751,-4.764214474265341,1.2362882382361523e-05
74,2.400247964468862,0.1084386916893878,-1.8308220492212424,-4.99983759075039,1.2362882382361523e-05
75,2.400247964468862,0.1084386916893878,-0.925348768746086,-4.764214474265341,1.2362882382361523e-05
76,2.400247964468862,0.1084386916893878,-1.6044537291024534,-4.99983759075039,1.2362882382361523e-05
77,2.400247964468862,0.1084386916893878,-0.6989804486272966,-4.764214474265341,1.2362882382361523e-05
78,2.400247964468862,0.1468585789073269,-4.999978530884291,-4.764214474265341,1.2362882382361523e-05
79,2.400247964468862,0.1468585789073269,-4.773610210765502,-4.764214474265341,1.2362882382361523e-05
80,2.400247964468862,0.1468585789073269,-4.5472418906467125,-4.764214474265341,1.2362882382361523e-05
81,2.400247964468862,0.1468585789073269,-4.999978530884291,-4.99983759075039,1.2362882382361523e-05
82,2.400247964468862,0.1468585789073269,-4.320873570527923,-4.764214474265341,1.2362882382361523e-05
83,2.400247964468862,0.1084386916893878,-1.3780854089836645,-4.99983759075039,1.2362882382361523e-05
84,2.400247964468862,0.1468585789073269,-4.094505250409134,-4.764214474265341,1.2362882382361523e-05
85,2.400247964468862,0.1468585789073269,-4.773610210765502,-4.99983759075039,1.2362882382361523e-05
86,2.400247964468862,0.1468585789073269,-3.868136930290345,-4.764214474265341,1.2362882382361523e-05
87,2.400247964468862,0.1468585789073269,-3.641768610171556,-4.764214474265341,1.2362882382361523e-05
88,2.400247964468862,0.1468585789073269,-4.5472418906467125,-4.99983759075039,1.2362882382361523e-05
89,2.400247964468862,0.1468585789073269,-3.4154002900527667,-4.764214474265341,1.2362882382361523e-05
90,2.400247964468862,0.1084386916893878,-1.1517170888648751,-4.99983759075039,1.2362882382361523e-05
91,2.400247964468862,0.1468585789073269,-4.320873570527923,-4.99983759075039,1.2362882382361523e-05
92,2.400247964468862,0.1468585789073269,-3.189031969933977,-4.764214474265341,1.2362882382361523e-05
93,2.400247964468862,0.1468585789073269,-4.094505250409134,-4.99983759075039,1.2362882382361523e-05
94,2.400247964468862,0.1468585789073269,-2.9626636498151884,-4.764214474265341,1.2362882382361523e-05
95,2.400247964468862,0.1084386916893878,-0.925348768746086,-4.99983759075039,1.2362882382361523e-05
96,2.400247964468862,0.1468585789073269,-2.736295329696399,-4.764214474265341,1.2362882382361523e-05
97,2.400247964468862,0.1468585789073269,-3.868136930290345,-4.99983759075039,1.2362882382361523e-05
98,2.400247964468862,0.1468585789073269,-2.50992700957761,-4.764214474265341,1.2362882382361523e-05
99,2.400247964468862,0.1468585789073269,-3.641768610171556,-4.99983759075039,1.2362882382361523e-05
100,2.400247964468862,0.1084386916893878,-0.6989804486272966,-4.99983759075039,1.2362882382361523e-05
